origin,Destination,Chargeable Wt,Mode,Nature of Consignment,Historical_Delivery_Days
Indore,Raipur,4.65,Express,Non-Dox,2
Aurangabad,Ahmedabad,7,Air Cargo,Dox,5
Chandigarh,Meerut,8.48,Surface,Non-Dox,5
Pune,Shimla,3.85,Express,Dox,2
Bhubaneswar,Jaipur,7.71,Express,Non-Dox,2
Indore,Coimbatore,8.6,Air Cargo,Dox,5
Amritsar,Surat,11.66,Surface,Dox,5
Ahmedabad,Kolkata,11.82,Express,Dox,2
Delhi,Aurangabad,5.94,Surface,Dox,5
Amritsar,Pune,3.78,Express,Dox,2
Aurangabad,Bangalore,11.79,Surface,Non-Dox,5
Chandigarh,Agra,11.03,Surface,Dox,5
Guwahati,Kochi,3.52,Surface,Dox,3
Bhubaneswar,Raipur,8.56,Surface,Dox,5
Vizag,Patna,6.31,Express,Dox,2
Bhubaneswar,Delhi,6.36,Express,Dox,2
Bhopal,Agra,4.53,Air Cargo,Non-Dox,3
Kolkata,Jaipur,4.81,Air Cargo,Non-Dox,3
Ahmedabad,Guwahati,4.79,Air Cargo,Non-Dox,3
Bhopal,Indore,10.21,Surface,Non-Dox,5
Srinagar,Bangalore,6.72,Air Cargo,Non-Dox,5
Kochi,Varanasi,10.33,Air Cargo,Dox,5
Jamshedpur,Ranchi,11,Surface,Non-Dox,5
Bhopal,Thiruvananthapuram,2.69,Air Cargo,Non-Dox,3
Varanasi,Indore,9.98,Surface,Non-Dox,5
Bhubaneswar,Meerut,10.96,Express,Dox,2
Agra,Coimbatore,8.11,Express,Non-Dox,2
Ranchi,Kochi,9.88,Surface,Dox,5
Surat,Kolkata,10.05,Air Cargo,Non-Dox,5
Chennai,Raipur,12.21,Surface,Non-Dox,5
Ahmedabad,Meerut,12.72,Air Cargo,Dox,5
Bangalore,Patna,8.4,Air Cargo,Dox,5
Kolkata,Mumbai,12.7,Surface,Non-Dox,5
Chennai,Raipur,10.27,Surface,Non-Dox,5
Jamshedpur,Jaipur,9.51,Surface,Dox,5
Coimbatore,Chandigarh,13.26,Surface,Dox,5
Coimbatore,Bangalore,4.51,Air Cargo,Non-Dox,3
Vijayawada,Nashik,1.16,Surface,Non-Dox,3
Ludhiana,Ahmedabad,11.13,Surface,Dox,5
Lucknow,Meerut,13,Surface,Dox,5
Mumbai,Vizag,9.3,Surface,Dox,5
Meerut,Vizag,14.2,Surface,Dox,5
Jaipur,Guwahati,10.51,Surface,Non-Dox,5
Varanasi,Ranchi,10.89,Surface,Non-Dox,5
Nagpur,Lucknow,4.88,Surface,Dox,3
Jamshedpur,Surat,12.37,Express,Non-Dox,2
Kolkata,Delhi,1.66,Air Cargo,Non-Dox,3
Ahmedabad,Shimla,3.32,Surface,Dox,3
Surat,Guwahati,11.44,Surface,Non-Dox,5
Amritsar,Surat,4.19,Surface,Non-Dox,3
Coimbatore,Vijayawada,6.19,Air Cargo,Non-Dox,5
Agra,Shimla,1.07,Surface,Dox,3
Kolkata,Thiruvananthapuram,9.24,Air Cargo,Dox,5
Amritsar,Jaipur,12.61,Surface,Dox,5
Nagpur,Raipur,5.71,Express,Dox,2
Ranchi,Agra,5.76,Surface,Non-Dox,5
Kolkata,Ludhiana,4.48,Express,Dox,2
Srinagar,Nagpur,13.35,Express,Dox,2
Jaipur,Indore,8.24,Surface,Dox,5
Kolkata,Chandigarh,8.31,Express,Dox,2
Amritsar,Chennai,11.17,Surface,Non-Dox,5
Shimla,Coimbatore,10.63,Express,Dox,2
Guwahati,Kochi,3.99,Surface,Dox,3
Kochi,Lucknow,7.88,Air Cargo,Dox,5
Aurangabad,Ludhiana,11.99,Surface,Dox,5
Agra,Surat,9.64,Express,Dox,2
Srinagar,Chandigarh,12.91,Express,Non-Dox,2
Surat,Guwahati,9.68,Surface,Non-Dox,5
Vijayawada,Guwahati,8.27,Surface,Non-Dox,5
Ranchi,Vijayawada,12.84,Express,Non-Dox,2
Dehradun,Shimla,12.21,Air Cargo,Dox,5
Guwahati,Chennai,11.76,Surface,Dox,5
Kochi,Varanasi,6.18,Air Cargo,Non-Dox,5
Srinagar,Chandigarh,5.59,Surface,Non-Dox,5
Ahmedabad,Bhubaneswar,10.93,Surface,Non-Dox,5
Kochi,Delhi,6.66,Express,Non-Dox,2
Meerut,Mumbai,2.85,Surface,Dox,3
Ranchi,Nagpur,9.07,Surface,Dox,5
Dehradun,Aurangabad,8.91,Surface,Non-Dox,5
Raipur,Coimbatore,2.18,Air Cargo,Non-Dox,3
Guwahati,Mumbai,6.29,Express,Dox,2
Agra,Bhopal,6.77,Air Cargo,Dox,5
Srinagar,Varanasi,10.08,Surface,Non-Dox,5
Vijayawada,Guwahati,2.81,Surface,Non-Dox,3
Nagpur,Agra,9.37,Express,Non-Dox,2
Indore,Hyderabad,1.96,Surface,Non-Dox,3
Delhi,Bangalore,4.89,Surface,Non-Dox,3
Agra,Jamshedpur,7.79,Surface,Non-Dox,5
Ahmedabad,Pune,11.6,Surface,Dox,5
Kochi,Guwahati,5.45,Surface,Non-Dox,5
Nagpur,Ahmedabad,3.24,Air Cargo,Non-Dox,3
Vijayawada,Srinagar,7.49,Surface,Non-Dox,5
Bhubaneswar,Surat,9.35,Express,Dox,2
Agra,Delhi,2.01,Surface,Dox,3
Amritsar,Hyderabad,9.44,Surface,Dox,5
Srinagar,Ahmedabad,8.74,Surface,Dox,5
Bhubaneswar,Amritsar,4.11,Air Cargo,Dox,3
Shimla,Nagpur,7.19,Surface,Dox,5
Patna,Bhopal,10.3,Surface,Non-Dox,5
Bangalore,Meerut,3.68,Air Cargo,Non-Dox,3
Chandigarh,Varanasi,13.4,Express,Non-Dox,2
Jaipur,Guwahati,3.38,Surface,Dox,3
Nagpur,Patna,12.32,Surface,Dox,5
Kolkata,Jamshedpur,5.58,Surface,Dox,5
Meerut,Dehradun,12.76,Surface,Non-Dox,5
Raipur,Lucknow,7.32,Surface,Non-Dox,5
Amritsar,Bhubaneswar,3.06,Express,Dox,2
Nagpur,Patna,8.43,Surface,Non-Dox,5
Kochi,Shimla,11.29,Surface,Dox,5
Coimbatore,Jaipur,11.06,Express,Dox,2
Raipur,Kolkata,10.4,Surface,Dox,5
Surat,Vijayawada,9.03,Surface,Non-Dox,5
Hyderabad,Pune,11.49,Surface,Non-Dox,5
Nagpur,Coimbatore,12.54,Surface,Non-Dox,5
Meerut,Kolkata,7.51,Express,Dox,2
Dehradun,Bangalore,10.81,Surface,Dox,5
Meerut,Kolkata,13.11,Surface,Dox,5
Kolkata,Delhi,6.29,Express,Dox,2
Jamshedpur,Kochi,4.01,Surface,Non-Dox,3
Guwahati,Lucknow,6.66,Surface,Non-Dox,5
Meerut,Ranchi,5.94,Surface,Non-Dox,5
Chennai,Kochi,10.41,Air Cargo,Dox,5
Pune,Ludhiana,8.97,Surface,Non-Dox,5
Thiruvananthapuram,Patna,8.72,Surface,Non-Dox,5
Dehradun,Jamshedpur,13.24,Surface,Dox,5
Pune,Indore,6.22,Express,Non-Dox,2
Vijayawada,Bhubaneswar,7.35,Surface,Non-Dox,5
Vijayawada,Bangalore,6.73,Surface,Dox,5
Bhopal,Shimla,13.46,Surface,Non-Dox,5
Srinagar,Jaipur,13.78,Air Cargo,Dox,5
Pune,Ranchi,5.8,Surface,Non-Dox,5
Patna,Kochi,2.67,Surface,Dox,3
Pune,Patna,7.47,Express,Dox,2
Surat,Patna,10.2,Express,Non-Dox,2
Lucknow,Jamshedpur,4.71,Express,Non-Dox,2
Lucknow,Kolkata,8,Surface,Non-Dox,5
Jaipur,Pune,9.58,Surface,Dox,5
Dehradun,Patna,11.67,Air Cargo,Dox,5
Indore,Surat,2.63,Surface,Dox,3
Hyderabad,Jamshedpur,5.18,Express,Dox,2
Varanasi,Srinagar,2.88,Surface,Non-Dox,3
Guwahati,Nagpur,9.38,Surface,Dox,5
Jaipur,Kolkata,14.57,Surface,Non-Dox,5
Aurangabad,Surat,11.76,Air Cargo,Non-Dox,5
Ranchi,Guwahati,9.3,Express,Dox,2
Indore,Jaipur,9.94,Surface,Non-Dox,5
Indore,Coimbatore,4.7,Surface,Non-Dox,3
Bhopal,Amritsar,10.75,Surface,Non-Dox,5
Patna,Shimla,7.93,Express,Non-Dox,2
Varanasi,Ranchi,11.62,Surface,Non-Dox,5
Amritsar,Lucknow,9.45,Surface,Non-Dox,5
Kolkata,Vijayawada,12.89,Surface,Dox,5
Indore,Kochi,12.02,Surface,Dox,5
Lucknow,Bhubaneswar,10.96,Surface,Non-Dox,5
Thiruvananthapuram,Guwahati,11.09,Surface,Dox,5
Chandigarh,Srinagar,6.05,Surface,Dox,5
Srinagar,Bhopal,5.81,Air Cargo,Dox,5
Chennai,Coimbatore,8.52,Air Cargo,Non-Dox,5
Agra,Meerut,11.62,Air Cargo,Non-Dox,5
Ludhiana,Aurangabad,3.09,Express,Non-Dox,2
Indore,Agra,5.38,Surface,Dox,5
Pune,Vijayawada,9.34,Surface,Dox,5
Bangalore,Dehradun,8.32,Air Cargo,Non-Dox,5
Bhubaneswar,Ahmedabad,7.86,Express,Dox,2
Agra,Bhopal,3.92,Surface,Dox,3
Agra,Ahmedabad,6.17,Surface,Non-Dox,5
Bhopal,Ludhiana,3.88,Surface,Non-Dox,3
Ranchi,Thiruvananthapuram,12.24,Surface,Dox,5
Ahmedabad,Jamshedpur,12.76,Surface,Dox,5
Bhopal,Bhubaneswar,2.03,Surface,Dox,3
Kolkata,Meerut,9.95,Express,Dox,2
Nashik,Ludhiana,1.81,Surface,Non-Dox,3
Guwahati,Coimbatore,9.69,Express,Dox,2
Thiruvananthapuram,Vizag,8.02,Surface,Non-Dox,5
Meerut,Shimla,6.45,Surface,Non-Dox,5
Nashik,Coimbatore,9.04,Surface,Dox,5
Ranchi,Bhubaneswar,10.56,Surface,Non-Dox,5
Aurangabad,Ahmedabad,7.51,Surface,Dox,5
Srinagar,Bhopal,9.3,Surface,Non-Dox,5
Patna,Meerut,5.93,Air Cargo,Non-Dox,5
Nagpur,Agra,11.73,Express,Dox,2
Delhi,Surat,13.24,Surface,Non-Dox,5
Pune,Patna,5.9,Surface,Non-Dox,5
Kochi,Meerut,4.96,Air Cargo,Non-Dox,3
Ranchi,Delhi,7.8,Surface,Non-Dox,5
Ludhiana,Varanasi,2.39,Surface,Non-Dox,3
Bangalore,Varanasi,9.72,Surface,Non-Dox,5
Nashik,Ranchi,3.62,Surface,Non-Dox,3
Delhi,Coimbatore,6.68,Air Cargo,Non-Dox,5
Coimbatore,Ludhiana,2.76,Surface,Non-Dox,3
Delhi,Bangalore,10.06,Surface,Non-Dox,5
Patna,Jaipur,5.17,Surface,Non-Dox,5
Vijayawada,Delhi,1.28,Surface,Dox,3
Ludhiana,Ranchi,4.64,Surface,Non-Dox,3
Dehradun,Srinagar,10.16,Surface,Dox,5
Lucknow,Guwahati,10.55,Surface,Dox,5
Coimbatore,Thiruvananthapuram,4.79,Surface,Non-Dox,3
Nashik,Ahmedabad,2.73,Express,Non-Dox,2
Pune,Varanasi,6.1,Surface,Dox,5
Varanasi,Raipur,1.1,Air Cargo,Dox,3
Shimla,Srinagar,13.77,Express,Non-Dox,2
Coimbatore,Vizag,7.17,Air Cargo,Non-Dox,5
Dehradun,Bangalore,8.39,Surface,Dox,5
Srinagar,Coimbatore,1.54,Surface,Non-Dox,3
Aurangabad,Dehradun,13.25,Express,Non-Dox,2
Vijayawada,Jaipur,6.69,Express,Dox,2
Bhubaneswar,Meerut,7.8,Surface,Non-Dox,5
Raipur,Bhopal,9.33,Air Cargo,Non-Dox,5
Bhubaneswar,Chennai,12.04,Surface,Dox,5
Coimbatore,Pune,6.52,Surface,Dox,5
Hyderabad,Shimla,10.42,Surface,Non-Dox,5
Meerut,Kolkata,6.3,Surface,Non-Dox,5
Shimla,Coimbatore,2.01,Express,Dox,2
Nashik,Srinagar,5.6,Surface,Dox,5
Pune,Delhi,7.88,Surface,Dox,5
Mumbai,Jamshedpur,12.55,Air Cargo,Non-Dox,5
Amritsar,Varanasi,6.86,Surface,Dox,5
Bangalore,Srinagar,11.11,Express,Dox,2
Vizag,Indore,9,Surface,Dox,5
Pune,Nashik,7.05,Surface,Dox,5
Varanasi,Ranchi,9.9,Air Cargo,Non-Dox,5
Hyderabad,Srinagar,1.88,Air Cargo,Non-Dox,3
Patna,Varanasi,5.8,Surface,Dox,5
Coimbatore,Guwahati,7.62,Air Cargo,Non-Dox,5
Coimbatore,Agra,11.59,Express,Non-Dox,2
Jamshedpur,Dehradun,8.06,Express,Non-Dox,2
Shimla,Patna,8.76,Surface,Non-Dox,5
Meerut,Dehradun,6.24,Surface,Dox,5
Lucknow,Bangalore,8.77,Surface,Non-Dox,5
Vizag,Kolkata,9.64,Express,Dox,2
Vijayawada,Raipur,9.76,Express,Non-Dox,2
Ludhiana,Ahmedabad,9.69,Surface,Dox,5
Thiruvananthapuram,Dehradun,10.14,Surface,Dox,5
Dehradun,Jamshedpur,2.19,Surface,Non-Dox,3
Lucknow,Coimbatore,11.67,Surface,Non-Dox,5
Lucknow,Vijayawada,1.55,Surface,Dox,3
Guwahati,Nagpur,12.35,Surface,Non-Dox,5
Chandigarh,Lucknow,12.81,Express,Non-Dox,2
Jamshedpur,Lucknow,7.96,Surface,Non-Dox,5
Bhubaneswar,Coimbatore,8.4,Surface,Non-Dox,5
Ranchi,Nashik,6.8,Express,Non-Dox,2
Coimbatore,Ahmedabad,7.05,Surface,Dox,5
Srinagar,Guwahati,6.17,Surface,Non-Dox,5
Hyderabad,Ahmedabad,4.44,Surface,Dox,3
Patna,Bhubaneswar,13.73,Air Cargo,Non-Dox,5
Raipur,Srinagar,13.26,Surface,Dox,5
Agra,Ludhiana,9.39,Express,Dox,2
Indore,Kolkata,7.1,Surface,Dox,5
Dehradun,Guwahati,9.96,Surface,Non-Dox,5
Jamshedpur,Bangalore,13.65,Surface,Non-Dox,5
Raipur,Jamshedpur,9.47,Surface,Dox,5
Guwahati,Vizag,3.25,Surface,Non-Dox,3
Kochi,Varanasi,6.58,Air Cargo,Non-Dox,5
Guwahati,Bhubaneswar,9.78,Air Cargo,Non-Dox,5
Chennai,Meerut,9.32,Surface,Dox,5
Kolkata,Surat,8.52,Surface,Dox,5
Mumbai,Bangalore,11.46,Air Cargo,Dox,5
Varanasi,Indore,2.21,Express,Non-Dox,2
Shimla,Meerut,1.42,Air Cargo,Dox,3
Delhi,Raipur,4.15,Surface,Non-Dox,3
Indore,Ludhiana,6.71,Surface,Non-Dox,5
Hyderabad,Bhopal,9.58,Surface,Dox,5
Indore,Amritsar,9.47,Surface,Non-Dox,5
Patna,Vizag,13.08,Air Cargo,Dox,5
Coimbatore,Vijayawada,1.44,Express,Non-Dox,1
Dehradun,Vijayawada,14.07,Air Cargo,Non-Dox,5
Amritsar,Kolkata,7.11,Air Cargo,Dox,5
Ranchi,Delhi,9.93,Air Cargo,Non-Dox,5
Ahmedabad,Agra,1.76,Surface,Dox,3
Raipur,Surat,13.11,Air Cargo,Non-Dox,5
Indore,Dehradun,7.98,Surface,Dox,5
Indore,Ranchi,7.08,Surface,Non-Dox,5
Coimbatore,Kochi,7.87,Air Cargo,Dox,5
Varanasi,Agra,11.2,Surface,Non-Dox,5
Dehradun,Aurangabad,12.04,Surface,Dox,5
Hyderabad,Kochi,8.84,Surface,Non-Dox,5
Indore,Bhubaneswar,6.97,Express,Dox,2
Meerut,Jamshedpur,6.84,Surface,Non-Dox,5
Nagpur,Mumbai,7.17,Express,Dox,2
Guwahati,Thiruvananthapuram,2.23,Surface,Non-Dox,3
Ahmedabad,Varanasi,4.74,Surface,Non-Dox,3
Pune,Hyderabad,11.33,Air Cargo,Dox,5
Jamshedpur,Pune,3.2,Air Cargo,Dox,3
Vijayawada,Lucknow,9.39,Surface,Non-Dox,5
Chennai,Bangalore,9,Surface,Non-Dox,5
Lucknow,Indore,3.58,Surface,Non-Dox,3
Guwahati,Nashik,10.45,Air Cargo,Non-Dox,5
Chennai,Vizag,3.39,Air Cargo,Non-Dox,3
Hyderabad,Aurangabad,1.07,Express,Dox,1
Kochi,Thiruvananthapuram,12.2,Express,Non-Dox,2
Patna,Nagpur,7.76,Air Cargo,Dox,5
Coimbatore,Vizag,11.03,Express,Non-Dox,2
Varanasi,Thiruvananthapuram,11.95,Surface,Dox,5
Coimbatore,Amritsar,13.84,Air Cargo,Dox,5
Thiruvananthapuram,Vizag,1.22,Express,Non-Dox,1
Guwahati,Coimbatore,5.29,Express,Non-Dox,2
Shimla,Surat,3.19,Express,Dox,2
Thiruvananthapuram,Chennai,7.47,Air Cargo,Dox,5
Nagpur,Indore,10.69,Surface,Non-Dox,5
Jamshedpur,Agra,6.84,Express,Dox,2
Thiruvananthapuram,Delhi,13.93,Surface,Non-Dox,5
Indore,Chennai,11.97,Surface,Non-Dox,5
Srinagar,Thiruvananthapuram,9.46,Express,Dox,2
Chennai,Meerut,2.52,Air Cargo,Dox,3
Hyderabad,Ranchi,11.74,Air Cargo,Non-Dox,5
Guwahati,Bhubaneswar,7.28,Air Cargo,Dox,5
Pune,Vijayawada,2.45,Surface,Non-Dox,3
Vizag,Guwahati,8.04,Express,Non-Dox,2
Meerut,Mumbai,1.33,Air Cargo,Non-Dox,3
Ranchi,Bangalore,8.91,Express,Dox,2
Agra,Dehradun,12.26,Air Cargo,Dox,5
Vijayawada,Ranchi,10.63,Surface,Dox,5
Ahmedabad,Shimla,1.77,Surface,Dox,3
Varanasi,Chandigarh,11.97,Express,Dox,2
Vijayawada,Bhopal,8.41,Surface,Dox,5
Lucknow,Bhubaneswar,1.7,Surface,Dox,3
Bhubaneswar,Guwahati,6.51,Surface,Non-Dox,5
Delhi,Chennai,8.84,Surface,Dox,5
Bangalore,Pune,2.94,Express,Dox,2
Delhi,Ranchi,7.94,Express,Dox,2
Pune,Chandigarh,9.17,Air Cargo,Non-Dox,5
Chennai,Meerut,7.09,Surface,Dox,5
Ahmedabad,Raipur,6.02,Air Cargo,Non-Dox,5
Jaipur,Kolkata,3.11,Express,Dox,2
Indore,Aurangabad,10.32,Surface,Dox,5
Shimla,Vizag,4.24,Surface,Non-Dox,3
Bangalore,Agra,4.14,Express,Non-Dox,2
Thiruvananthapuram,Agra,11.33,Express,Dox,2
Amritsar,Pune,8.9,Air Cargo,Non-Dox,5
Ahmedabad,Bangalore,5.63,Surface,Dox,5
Vizag,Vijayawada,4.3,Express,Non-Dox,2
Nagpur,Jaipur,3.74,Express,Dox,2
Aurangabad,Pune,3.12,Surface,Dox,3
Thiruvananthapuram,Vijayawada,8.63,Air Cargo,Non-Dox,5
Aurangabad,Patna,2.16,Surface,Non-Dox,3
Agra,Aurangabad,13.45,Express,Dox,2
Ahmedabad,Srinagar,9.66,Surface,Non-Dox,5
Kolkata,Guwahati,9.62,Surface,Non-Dox,5
Lucknow,Jamshedpur,3.55,Express,Dox,2
Lucknow,Pune,9.39,Surface,Dox,5
Amritsar,Delhi,6.64,Surface,Non-Dox,5
Dehradun,Vijayawada,12.81,Express,Dox,2
Vijayawada,Kochi,12.75,Surface,Non-Dox,5
Nashik,Ludhiana,11.81,Express,Dox,2
Vijayawada,Varanasi,9.19,Surface,Non-Dox,5
Ranchi,Chennai,13.16,Surface,Non-Dox,5
Nashik,Guwahati,7.69,Surface,Non-Dox,5
Agra,Nashik,13.24,Surface,Non-Dox,5
Patna,Pune,3.11,Air Cargo,Dox,3
Amritsar,Bangalore,8.04,Surface,Non-Dox,5
Nashik,Vijayawada,11.47,Surface,Non-Dox,5
Meerut,Thiruvananthapuram,8.85,Surface,Dox,5
Chennai,Aurangabad,10.67,Surface,Dox,5
Meerut,Bangalore,6.82,Surface,Non-Dox,5
Varanasi,Srinagar,7.17,Surface,Dox,5
Hyderabad,Aurangabad,6.44,Surface,Non-Dox,5
Meerut,Jamshedpur,8.95,Surface,Non-Dox,5
Chennai,Lucknow,1.98,Surface,Non-Dox,3
Dehradun,Nagpur,6.07,Surface,Non-Dox,5
Bhubaneswar,Shimla,9.19,Express,Dox,2
Ranchi,Mumbai,10.61,Express,Non-Dox,2
Dehradun,Bangalore,6.89,Surface,Dox,5
Pune,Chandigarh,3.32,Surface,Dox,3
Ranchi,Thiruvananthapuram,10.94,Express,Dox,2
Bhubaneswar,Ludhiana,4.73,Surface,Non-Dox,3
Vijayawada,Srinagar,2.33,Surface,Non-Dox,3
Aurangabad,Hyderabad,3.64,Surface,Dox,3
Surat,Agra,9.02,Surface,Dox,5
Kochi,Dehradun,7.96,Air Cargo,Dox,5
Kochi,Delhi,4.97,Surface,Dox,3
Agra,Indore,2.8,Express,Dox,2
Chandigarh,Kochi,4.52,Surface,Dox,3
Aurangabad,Lucknow,2.51,Express,Dox,2
Ludhiana,Jamshedpur,3.31,Air Cargo,Dox,3
Aurangabad,Varanasi,9.59,Surface,Non-Dox,5
Coimbatore,Shimla,10.11,Express,Dox,2
Agra,Ludhiana,1.95,Surface,Non-Dox,3
Guwahati,Chandigarh,9.65,Surface,Dox,5
Amritsar,Shimla,7.47,Surface,Dox,5
Bangalore,Kochi,10.09,Surface,Non-Dox,5
Nashik,Jaipur,2.98,Express,Non-Dox,2
Jaipur,Ranchi,12.9,Air Cargo,Non-Dox,5
Delhi,Jaipur,6.81,Surface,Dox,5
Raipur,Srinagar,10.86,Surface,Dox,5
Nashik,Shimla,14.89,Surface,Dox,5
Amritsar,Vizag,6.9,Surface,Dox,5
Raipur,Ahmedabad,8.33,Surface,Non-Dox,5
Nashik,Raipur,4.2,Surface,Non-Dox,3
Shimla,Ludhiana,11.15,Surface,Non-Dox,5
Bhubaneswar,Kolkata,11.29,Express,Non-Dox,2
Lucknow,Pune,2.86,Air Cargo,Non-Dox,3
Surat,Ranchi,8.02,Surface,Non-Dox,5
Chennai,Vijayawada,7.37,Surface,Non-Dox,5
Srinagar,Guwahati,8.42,Surface,Dox,5
Patna,Amritsar,12.84,Surface,Dox,5
Surat,Shimla,2.16,Surface,Dox,3
Agra,Kolkata,11.02,Express,Non-Dox,2
Bangalore,Kochi,8.24,Surface,Dox,5
Bhopal,Agra,13.84,Express,Non-Dox,2
Pune,Bhubaneswar,4.08,Surface,Dox,3
Indore,Ranchi,6.68,Surface,Dox,5
Ahmedabad,Aurangabad,6.04,Surface,Dox,5
Dehradun,Bhubaneswar,7.51,Surface,Non-Dox,5
Ranchi,Ahmedabad,12.87,Express,Non-Dox,2
Bangalore,Raipur,2.88,Surface,Dox,3
Lucknow,Patna,4.9,Air Cargo,Dox,3
Pune,Indore,12.9,Surface,Dox,5
Shimla,Delhi,4.18,Surface,Dox,3
Indore,Chandigarh,5.59,Surface,Dox,5
Kolkata,Ludhiana,5.92,Surface,Non-Dox,5
Aurangabad,Lucknow,1.98,Air Cargo,Dox,3
Delhi,Jamshedpur,14.04,Surface,Non-Dox,5
Ludhiana,Pune,9.54,Surface,Non-Dox,5
Aurangabad,Raipur,6.67,Surface,Dox,5
Dehradun,Shimla,8.4,Surface,Dox,5
Jamshedpur,Ranchi,9.78,Air Cargo,Dox,5
Chennai,Thiruvananthapuram,2.81,Surface,Non-Dox,3
Ludhiana,Kochi,6.29,Surface,Dox,5
Surat,Aurangabad,1.46,Surface,Non-Dox,3
Bangalore,Shimla,10.67,Surface,Dox,5
Nagpur,Kolkata,1.88,Surface,Dox,3
Hyderabad,Kolkata,11.43,Express,Dox,2
Lucknow,Nashik,8.34,Express,Dox,2
Nashik,Ranchi,2.81,Surface,Dox,3
Dehradun,Chennai,8.17,Surface,Non-Dox,5
Bhubaneswar,Ranchi,2.17,Express,Dox,2
Thiruvananthapuram,Shimla,9.05,Air Cargo,Non-Dox,5
Varanasi,Delhi,12.04,Surface,Dox,5
Raipur,Indore,8.38,Air Cargo,Non-Dox,5
Dehradun,Vijayawada,6.67,Express,Non-Dox,2
Chandigarh,Bhubaneswar,12.49,Air Cargo,Non-Dox,5
Meerut,Mumbai,6.47,Surface,Dox,5
Kolkata,Kochi,3.64,Express,Non-Dox,2
Jaipur,Nashik,5.43,Surface,Dox,5
Kolkata,Guwahati,9.12,Air Cargo,Non-Dox,5
Kolkata,Surat,2.88,Surface,Non-Dox,3
Patna,Srinagar,8.44,Surface,Dox,5
Nagpur,Vizag,6.82,Express,Non-Dox,2
Lucknow,Surat,3.63,Express,Dox,2
Agra,Delhi,9.66,Express,Dox,2
Dehradun,Guwahati,2.22,Surface,Dox,3
Bangalore,Dehradun,10.74,Express,Non-Dox,2
Aurangabad,Thiruvananthapuram,7.71,Air Cargo,Non-Dox,5
Nagpur,Vijayawada,5.88,Air Cargo,Non-Dox,5
Ranchi,Bangalore,10.29,Air Cargo,Non-Dox,5
Ludhiana,Pune,3.44,Surface,Non-Dox,3
Thiruvananthapuram,Kolkata,3.19,Air Cargo,Non-Dox,3
Amritsar,Aurangabad,12.3,Surface,Non-Dox,5
Shimla,Jaipur,3.44,Surface,Non-Dox,3
Ranchi,Chandigarh,4.92,Surface,Dox,3
Chandigarh,Varanasi,8.86,Air Cargo,Dox,5
Patna,Meerut,4.94,Surface,Dox,3
Indore,Dehradun,4.95,Express,Dox,2
Ahmedabad,Vizag,5.67,Surface,Dox,5
Chennai,Bangalore,8.08,Surface,Dox,5
Jaipur,Mumbai,5.34,Surface,Non-Dox,5
Indore,Guwahati,7.1,Surface,Non-Dox,5
Kochi,Ludhiana,7.18,Express,Dox,2
Meerut,Agra,1.63,Express,Dox,1
Bhopal,Thiruvananthapuram,1.14,Express,Non-Dox,1
Kolkata,Srinagar,3.34,Express,Dox,2
Bhopal,Bhubaneswar,3.26,Surface,Non-Dox,3
Aurangabad,Amritsar,8.91,Surface,Non-Dox,5
Meerut,Ludhiana,6.4,Express,Dox,2
Ranchi,Coimbatore,5.51,Surface,Dox,5
Raipur,Ranchi,11.25,Air Cargo,Non-Dox,5
Jamshedpur,Hyderabad,12.05,Surface,Dox,5
Aurangabad,Delhi,1.7,Air Cargo,Dox,3
Vijayawada,Lucknow,13.6,Surface,Dox,5
Hyderabad,Dehradun,12.81,Air Cargo,Non-Dox,5
Ahmedabad,Pune,5.97,Surface,Dox,5
Jamshedpur,Vizag,12.86,Surface,Dox,5
Ranchi,Raipur,6.32,Express,Non-Dox,2
Bangalore,Nashik,13.31,Air Cargo,Non-Dox,5
Nashik,Jamshedpur,8.31,Surface,Non-Dox,5
Kolkata,Chandigarh,4.75,Surface,Non-Dox,3
Coimbatore,Indore,6.74,Express,Non-Dox,2
Amritsar,Vijayawada,11.96,Surface,Non-Dox,5
Meerut,Coimbatore,10.58,Surface,Non-Dox,5
Ahmedabad,Bhopal,12.41,Surface,Dox,5
Amritsar,Vijayawada,4.09,Express,Dox,2
Shimla,Guwahati,1.22,Express,Non-Dox,1
Chennai,Srinagar,6.92,Surface,Dox,5
Coimbatore,Vizag,3.29,Surface,Non-Dox,3
Raipur,Hyderabad,5.1,Surface,Dox,5
Nashik,Pune,13.03,Air Cargo,Non-Dox,5
Coimbatore,Chennai,8.46,Surface,Dox,5
Bhubaneswar,Lucknow,9.88,Surface,Dox,5
Dehradun,Delhi,8.48,Air Cargo,Dox,5
Raipur,Mumbai,6.33,Surface,Non-Dox,5
Meerut,Indore,13.33,Surface,Dox,5
Jamshedpur,Vizag,10.83,Surface,Non-Dox,5
Vizag,Varanasi,5.01,Surface,Non-Dox,5
Vijayawada,Dehradun,2.63,Air Cargo,Dox,3
Surat,Nagpur,2.04,Surface,Dox,3
Varanasi,Chennai,8.78,Surface,Dox,5
Vijayawada,Srinagar,11.37,Surface,Dox,5
Bhopal,Shimla,6.34,Surface,Dox,5
Surat,Bangalore,6.27,Surface,Dox,5
Dehradun,Jamshedpur,7.02,Surface,Dox,5
Coimbatore,Varanasi,10.33,Surface,Non-Dox,5
Kochi,Chennai,5.07,Express,Non-Dox,2
