Pickup_Location,Destination,Courier_Type,Historical_Deliveries,Actual_Delivery_Days
Hyderabad,Delhi,Standard,2,1
Pune,Kolkata,Express,3,2
Pune,Kolkata,Standard,5,6
Kolkata,Chennai,Same Day,7,7
Ahmedabad,Kolkata,Same Day,1,1
Delhi,Delhi,Standard,1,1
Pune,Pune,Standard,5,4
Kolkata,Mumbai,Same Day,5,5
Ahmedabad,Kolkata,Standard,2,1
Hyderabad,Kolkata,Same Day,2,1
Delhi,Kolkata,Standard,2,1
Delhi,Kolkata,Same Day,5,4
Bangalore,Kolkata,Same Day,2,3
Kolkata,Mumbai,Same Day,1,1
Kolkata,Delhi,Express,5,4
Ahmedabad,Ahmedabad,Same Day,4,5
Mumbai,Kolkata,Express,7,8
Ahmedabad,Hyderabad,Standard,4,5
Ahmedabad,Chennai,Express,4,5
Kolkata,Chennai,Standard,3,2
Kolkata,Ahmedabad,Express,3,2
Hyderabad,Kolkata,Standard,3,4
Mumbai,Kolkata,Standard,7,6
Hyderabad,Hyderabad,Same Day,5,6
Delhi,Hyderabad,Same Day,1,2
Hyderabad,Hyderabad,Same Day,6,6
Ahmedabad,Hyderabad,Same Day,4,4
Kolkata,Mumbai,Express,7,6
Bangalore,Chennai,Express,6,7
Kolkata,Ahmedabad,Standard,4,3
Delhi,Pune,Same Day,1,1
Ahmedabad,Hyderabad,Same Day,7,6
Chennai,Chennai,Same Day,4,3
Mumbai,Pune,Same Day,2,3
Ahmedabad,Kolkata,Same Day,3,3
Ahmedabad,Pune,Same Day,4,4
Pune,Hyderabad,Standard,2,2
Kolkata,Chennai,Same Day,6,7
Ahmedabad,Hyderabad,Standard,4,3
Kolkata,Pune,Standard,2,2
Chennai,Bangalore,Standard,1,2
Bangalore,Chennai,Express,5,5
Delhi,Pune,Express,6,6
Delhi,Hyderabad,Same Day,1,2
Kolkata,Chennai,Express,2,2
Pune,Kolkata,Express,5,4
Bangalore,Mumbai,Express,2,3
Bangalore,Hyderabad,Express,6,7
Hyderabad,Kolkata,Standard,5,6
Ahmedabad,Kolkata,Express,6,5
Hyderabad,Bangalore,Same Day,3,2
Mumbai,Ahmedabad,Express,1,2
Delhi,Mumbai,Express,7,7
Kolkata,Hyderabad,Same Day,7,7
Ahmedabad,Kolkata,Same Day,7,7
Bangalore,Kolkata,Standard,1,1
Chennai,Hyderabad,Same Day,6,5
Delhi,Hyderabad,Same Day,6,7
Ahmedabad,Pune,Standard,4,4
Pune,Chennai,Standard,7,6
Ahmedabad,Chennai,Same Day,2,2
Bangalore,Bangalore,Same Day,2,2
Hyderabad,Chennai,Standard,7,6
Delhi,Pune,Express,5,6
Delhi,Chennai,Standard,4,4
Mumbai,Mumbai,Same Day,1,2
Kolkata,Bangalore,Standard,3,3
Pune,Mumbai,Express,4,5
Hyderabad,Hyderabad,Same Day,4,4
Mumbai,Mumbai,Standard,2,3
Mumbai,Pune,Same Day,3,4
Mumbai,Hyderabad,Standard,6,5
Bangalore,Bangalore,Standard,7,6
Kolkata,Chennai,Express,5,5
Kolkata,Chennai,Standard,3,4
Delhi,Kolkata,Same Day,7,6
Pune,Chennai,Same Day,5,6
Ahmedabad,Ahmedabad,Same Day,4,5
Mumbai,Delhi,Express,6,5
Ahmedabad,Bangalore,Express,3,3
Delhi,Kolkata,Express,5,4
Bangalore,Ahmedabad,Standard,7,6
Mumbai,Bangalore,Express,6,6
Hyderabad,Ahmedabad,Standard,1,1
Pune,Kolkata,Express,3,2
Hyderabad,Pune,Standard,1,1
Mumbai,Chennai,Same Day,4,3
Mumbai,Chennai,Express,6,6
Mumbai,Mumbai,Standard,2,3
Ahmedabad,Delhi,Same Day,7,8
Mumbai,Pune,Standard,1,1
Delhi,Pune,Express,5,4
Hyderabad,Mumbai,Same Day,3,2
Bangalore,Chennai,Express,7,7
Ahmedabad,Chennai,Same Day,4,3
Delhi,Ahmedabad,Express,6,7
Delhi,Hyderabad,Standard,2,3
Chennai,Ahmedabad,Express,3,2
Bangalore,Ahmedabad,Standard,6,7
Delhi,Ahmedabad,Standard,3,2
Pune,Hyderabad,Same Day,3,2
Hyderabad,Pune,Standard,5,4
Ahmedabad,Pune,Standard,6,6
Chennai,Chennai,Standard,3,2
Mumbai,Chennai,Same Day,5,4
Ahmedabad,Ahmedabad,Express,2,2
Chennai,Delhi,Standard,6,7
Mumbai,Kolkata,Same Day,3,3
Pune,Ahmedabad,Standard,1,1
Bangalore,Chennai,Standard,4,4
Bangalore,Bangalore,Express,1,2
Kolkata,Bangalore,Express,4,3
Pune,Ahmedabad,Standard,2,3
Mumbai,Pune,Standard,1,1
Kolkata,Ahmedabad,Express,3,4
Chennai,Kolkata,Same Day,7,8
Kolkata,Hyderabad,Standard,5,5
Hyderabad,Mumbai,Standard,3,3
Bangalore,Hyderabad,Express,3,2
Kolkata,Chennai,Same Day,7,8
Pune,Kolkata,Same Day,3,3
Hyderabad,Mumbai,Express,6,6
Chennai,Bangalore,Express,2,1
Ahmedabad,Mumbai,Express,3,2
Hyderabad,Hyderabad,Standard,4,5
Ahmedabad,Ahmedabad,Same Day,1,1
Bangalore,Hyderabad,Same Day,5,4
Chennai,Chennai,Same Day,7,8
Mumbai,Pune,Express,1,1
Ahmedabad,Delhi,Express,1,1
Kolkata,Mumbai,Same Day,4,4
Ahmedabad,Chennai,Express,4,4
Mumbai,Chennai,Same Day,7,7
Hyderabad,Kolkata,Same Day,2,3
Pune,Ahmedabad,Same Day,4,3
Bangalore,Kolkata,Same Day,6,7
Mumbai,Mumbai,Express,4,3
Delhi,Chennai,Express,5,5
Chennai,Ahmedabad,Express,5,4
Hyderabad,Chennai,Express,4,4
Pune,Pune,Standard,4,4
Pune,Bangalore,Express,3,3
Mumbai,Kolkata,Express,5,6
Ahmedabad,Ahmedabad,Express,6,6
Bangalore,Delhi,Express,7,7
Bangalore,Delhi,Standard,6,7
Hyderabad,Bangalore,Standard,2,3
Delhi,Chennai,Same Day,1,1
Bangalore,Mumbai,Same Day,5,6
Kolkata,Delhi,Standard,4,3
Ahmedabad,Pune,Standard,4,4
Kolkata,Kolkata,Express,4,4
Delhi,Hyderabad,Same Day,6,6
Delhi,Bangalore,Express,6,5
Delhi,Delhi,Express,6,7
Mumbai,Delhi,Standard,7,8
Kolkata,Chennai,Standard,6,7
Pune,Bangalore,Same Day,2,2
Chennai,Mumbai,Same Day,4,5
Pune,Chennai,Standard,6,7
Chennai,Pune,Express,7,6
Mumbai,Pune,Express,2,2
Pune,Kolkata,Standard,5,4
Bangalore,Mumbai,Standard,1,1
Ahmedabad,Bangalore,Standard,2,1
Bangalore,Hyderabad,Express,5,4
Delhi,Bangalore,Same Day,2,1
Chennai,Hyderabad,Same Day,2,1
Ahmedabad,Hyderabad,Express,5,5
Mumbai,Bangalore,Standard,1,2
Hyderabad,Ahmedabad,Express,4,3
Ahmedabad,Delhi,Express,1,1
Delhi,Pune,Same Day,4,4
Delhi,Kolkata,Same Day,3,3
Kolkata,Kolkata,Same Day,5,4
Hyderabad,Hyderabad,Express,7,7
Ahmedabad,Bangalore,Standard,4,3
Bangalore,Bangalore,Standard,5,6
Bangalore,Kolkata,Same Day,5,4
Pune,Hyderabad,Same Day,6,6
Chennai,Bangalore,Express,1,1
Chennai,Pune,Standard,3,2
Kolkata,Mumbai,Express,5,4
Chennai,Delhi,Same Day,5,4
Ahmedabad,Bangalore,Same Day,2,2
Chennai,Bangalore,Express,4,4
Ahmedabad,Mumbai,Express,6,6
Delhi,Hyderabad,Express,4,3
Ahmedabad,Mumbai,Standard,6,6
Kolkata,Ahmedabad,Express,4,5
Bangalore,Kolkata,Same Day,6,5
Bangalore,Hyderabad,Express,2,1
Mumbai,Hyderabad,Standard,4,3
Hyderabad,Chennai,Same Day,1,2
Chennai,Kolkata,Same Day,2,3
Delhi,Mumbai,Express,1,2
Delhi,Hyderabad,Express,7,8
Hyderabad,Mumbai,Standard,4,3
Hyderabad,Kolkata,Same Day,4,3
Kolkata,Pune,Standard,2,2
Chennai,Mumbai,Express,3,2
Hyderabad,Mumbai,Same Day,7,8
Ahmedabad,Kolkata,Express,1,1
Hyderabad,Ahmedabad,Same Day,5,6
Kolkata,Kolkata,Express,1,1
Pune,Pune,Express,6,5
Mumbai,Delhi,Standard,2,2
Hyderabad,Ahmedabad,Same Day,1,1
Mumbai,Ahmedabad,Same Day,7,7
Delhi,Delhi,Standard,4,4
Chennai,Chennai,Same Day,7,6
Mumbai,Kolkata,Express,2,2
Hyderabad,Mumbai,Same Day,5,4
Delhi,Bangalore,Express,2,3
Ahmedabad,Delhi,Express,1,1
Delhi,Hyderabad,Express,5,5
Bangalore,Pune,Same Day,3,4
Delhi,Bangalore,Same Day,6,7
Chennai,Mumbai,Standard,3,4
Kolkata,Bangalore,Express,3,3
Kolkata,Delhi,Same Day,7,6
Chennai,Mumbai,Express,2,2
Bangalore,Delhi,Standard,1,1
Mumbai,Ahmedabad,Same Day,3,2
Chennai,Mumbai,Standard,5,4
Hyderabad,Bangalore,Same Day,1,1
Chennai,Delhi,Same Day,2,2
Pune,Bangalore,Express,5,6
Kolkata,Hyderabad,Same Day,3,3
Hyderabad,Mumbai,Express,5,6
Mumbai,Kolkata,Standard,7,8
Bangalore,Pune,Express,5,5
Bangalore,Pune,Express,2,3
Chennai,Ahmedabad,Express,3,4
Mumbai,Bangalore,Express,3,2
Bangalore,Kolkata,Express,6,5
Chennai,Kolkata,Same Day,4,5
Bangalore,Ahmedabad,Standard,5,4
Mumbai,Pune,Same Day,3,2
Mumbai,Mumbai,Same Day,1,1
Bangalore,Ahmedabad,Standard,7,6
Hyderabad,Kolkata,Express,5,4
Delhi,Delhi,Express,4,4
Delhi,Mumbai,Express,2,3
Bangalore,Ahmedabad,Express,1,1
Mumbai,Mumbai,Express,5,6
Hyderabad,Chennai,Express,6,6
Delhi,Delhi,Express,4,5
Mumbai,Bangalore,Express,4,4
Bangalore,Ahmedabad,Same Day,3,3
Mumbai,Mumbai,Express,3,4
Pune,Hyderabad,Same Day,7,8
Mumbai,Delhi,Express,2,1
Kolkata,Kolkata,Standard,4,3
Pune,Chennai,Standard,3,4
Ahmedabad,Chennai,Same Day,7,6
Ahmedabad,Ahmedabad,Same Day,1,1
Delhi,Ahmedabad,Same Day,3,3
Ahmedabad,Bangalore,Same Day,6,7
Ahmedabad,Hyderabad,Same Day,1,1
Pune,Bangalore,Express,7,8
Mumbai,Chennai,Same Day,4,3
Delhi,Delhi,Same Day,1,1
Ahmedabad,Hyderabad,Express,3,2
Bangalore,Mumbai,Standard,4,5
Hyderabad,Mumbai,Express,5,4
Bangalore,Mumbai,Express,7,8
Kolkata,Chennai,Express,2,1
Mumbai,Delhi,Standard,1,1
Hyderabad,Pune,Express,1,2
Pune,Pune,Same Day,1,2
Mumbai,Delhi,Same Day,7,8
Mumbai,Kolkata,Express,3,3
Chennai,Bangalore,Standard,4,3
Kolkata,Ahmedabad,Same Day,5,6
Hyderabad,Delhi,Standard,2,3
Hyderabad,Chennai,Express,4,4
Bangalore,Ahmedabad,Express,7,7
Bangalore,Kolkata,Express,7,6
Ahmedabad,Ahmedabad,Same Day,6,5
Mumbai,Kolkata,Same Day,7,6
Delhi,Bangalore,Express,3,4
Bangalore,Kolkata,Same Day,2,1
Chennai,Pune,Same Day,6,6
Pune,Kolkata,Standard,6,7
Delhi,Chennai,Same Day,4,3
Chennai,Ahmedabad,Standard,5,5
Pune,Kolkata,Standard,3,4
Ahmedabad,Hyderabad,Same Day,6,6
Mumbai,Pune,Same Day,4,4
Kolkata,Ahmedabad,Same Day,5,5
Delhi,Hyderabad,Same Day,7,8
Pune,Hyderabad,Express,4,5
Bangalore,Hyderabad,Same Day,2,3
Delhi,Chennai,Express,4,5
Kolkata,Ahmedabad,Standard,7,8
Delhi,Chennai,Express,3,4
Hyderabad,Bangalore,Same Day,5,5
Hyderabad,Kolkata,Express,3,3
Hyderabad,Kolkata,Standard,7,6
Chennai,Mumbai,Express,6,6
Bangalore,Pune,Standard,5,6
Kolkata,Ahmedabad,Standard,4,3
Bangalore,Bangalore,Same Day,1,1
Bangalore,Ahmedabad,Same Day,6,5
Delhi,Pune,Same Day,6,5
Hyderabad,Ahmedabad,Standard,1,2
Pune,Chennai,Same Day,4,4
Hyderabad,Chennai,Standard,6,5
Mumbai,Pune,Same Day,7,7
Ahmedabad,Bangalore,Same Day,2,3
Ahmedabad,Hyderabad,Standard,2,1
Ahmedabad,Pune,Standard,7,8
Delhi,Mumbai,Same Day,3,2
Kolkata,Pune,Express,1,1
Bangalore,Pune,Standard,3,2
Mumbai,Ahmedabad,Standard,2,2
Pune,Kolkata,Standard,5,4
Pune,Mumbai,Standard,6,7
Bangalore,Ahmedabad,Standard,4,3
Chennai,Bangalore,Standard,7,6
Hyderabad,Bangalore,Same Day,5,6
Ahmedabad,Mumbai,Same Day,6,6
Bangalore,Bangalore,Same Day,2,3
Mumbai,Bangalore,Express,2,3
Ahmedabad,Bangalore,Standard,7,7
Pune,Bangalore,Standard,2,1
Bangalore,Ahmedabad,Express,4,5
Pune,Ahmedabad,Express,5,5
Mumbai,Bangalore,Same Day,4,5
Hyderabad,Delhi,Standard,7,8
Bangalore,Delhi,Express,7,7
Hyderabad,Kolkata,Express,3,4
Mumbai,Hyderabad,Same Day,7,7
Hyderabad,Delhi,Express,6,6
Pune,Chennai,Express,5,4
Delhi,Kolkata,Standard,6,5
Hyderabad,Ahmedabad,Express,1,1
Ahmedabad,Bangalore,Standard,1,1
Hyderabad,Pune,Same Day,5,5
Pune,Bangalore,Standard,6,6
Pune,Mumbai,Standard,3,4
Hyderabad,Bangalore,Standard,5,6
Hyderabad,Delhi,Same Day,2,3
Kolkata,Bangalore,Same Day,4,5
Ahmedabad,Ahmedabad,Express,1,1
Ahmedabad,Delhi,Same Day,5,5
Pune,Pune,Same Day,5,5
Mumbai,Pune,Express,4,4
Ahmedabad,Delhi,Standard,3,2
Mumbai,Mumbai,Express,2,3
Chennai,Bangalore,Standard,1,1
Mumbai,Chennai,Same Day,2,2
Chennai,Ahmedabad,Standard,5,6
Ahmedabad,Ahmedabad,Same Day,5,4
Hyderabad,Ahmedabad,Standard,1,2
Pune,Bangalore,Same Day,5,5
Chennai,Hyderabad,Express,7,6
Chennai,Hyderabad,Standard,6,5
Ahmedabad,Ahmedabad,Standard,1,1
Delhi,Chennai,Same Day,5,4
Hyderabad,Kolkata,Standard,4,3
Pune,Chennai,Standard,6,6
Bangalore,Delhi,Same Day,7,7
Ahmedabad,Bangalore,Standard,5,5
Delhi,Ahmedabad,Express,6,6
Kolkata,Kolkata,Standard,6,6
Kolkata,Kolkata,Standard,7,6
Mumbai,Bangalore,Same Day,7,6
Pune,Ahmedabad,Same Day,5,5
Pune,Delhi,Standard,1,1
Pune,Delhi,Same Day,6,7
Bangalore,Mumbai,Standard,4,5
Kolkata,Ahmedabad,Express,1,1
Bangalore,Ahmedabad,Standard,2,3
Mumbai,Hyderabad,Express,1,2
Mumbai,Hyderabad,Express,6,5
Bangalore,Kolkata,Standard,7,8
Hyderabad,Bangalore,Standard,2,2
Hyderabad,Pune,Same Day,6,6
Chennai,Pune,Same Day,4,3
Hyderabad,Delhi,Express,7,8
Ahmedabad,Ahmedabad,Standard,7,7
Pune,Bangalore,Standard,3,3
Delhi,Pune,Standard,2,3
Kolkata,Kolkata,Express,2,3
Delhi,Mumbai,Standard,1,1
Pune,Kolkata,Standard,2,3
Pune,Chennai,Same Day,4,3
Hyderabad,Pune,Standard,7,6
Delhi,Bangalore,Standard,2,3
Chennai,Bangalore,Same Day,2,3
Chennai,Chennai,Same Day,5,6
Mumbai,Bangalore,Standard,5,5
Delhi,Bangalore,Same Day,2,1
Pune,Chennai,Express,7,6
Mumbai,Pune,Express,5,6
Chennai,Mumbai,Standard,5,6
Chennai,Pune,Same Day,6,6
Bangalore,Ahmedabad,Standard,7,8
Mumbai,Mumbai,Express,3,3
Hyderabad,Delhi,Same Day,5,6
Kolkata,Hyderabad,Same Day,4,5
Hyderabad,Kolkata,Same Day,1,2
Pune,Bangalore,Standard,5,5
Kolkata,Ahmedabad,Same Day,2,1
Mumbai,Hyderabad,Same Day,4,5
Hyderabad,Pune,Standard,2,2
Bangalore,Mumbai,Same Day,5,5
Chennai,Hyderabad,Express,1,2
Chennai,Hyderabad,Same Day,6,7
Mumbai,Bangalore,Express,7,7
Delhi,Mumbai,Express,7,7
Chennai,Hyderabad,Standard,1,2
Bangalore,Delhi,Express,5,5
Kolkata,Bangalore,Standard,2,1
Ahmedabad,Delhi,Standard,6,5
Ahmedabad,Mumbai,Same Day,4,3
Hyderabad,Kolkata,Standard,5,5
Hyderabad,Ahmedabad,Standard,1,1
Delhi,Hyderabad,Standard,7,7
Delhi,Delhi,Express,7,8
Kolkata,Bangalore,Express,6,6
Ahmedabad,Ahmedabad,Same Day,4,4
Mumbai,Delhi,Standard,3,3
Bangalore,Hyderabad,Same Day,5,5
Kolkata,Pune,Standard,3,2
Bangalore,Hyderabad,Express,5,5
Hyderabad,Ahmedabad,Standard,5,5
Ahmedabad,Bangalore,Standard,1,1
Hyderabad,Bangalore,Same Day,2,2
Pune,Mumbai,Same Day,6,6
Kolkata,Delhi,Same Day,1,2
Ahmedabad,Mumbai,Express,7,6
Bangalore,Ahmedabad,Express,5,4
Chennai,Delhi,Express,4,4
Ahmedabad,Kolkata,Standard,6,7
Kolkata,Delhi,Standard,4,5
Pune,Bangalore,Same Day,2,2
Mumbai,Hyderabad,Express,3,3
Hyderabad,Pune,Same Day,7,8
Delhi,Mumbai,Same Day,4,3
Kolkata,Kolkata,Express,5,6
Hyderabad,Pune,Standard,2,2
Ahmedabad,Kolkata,Express,2,1
Chennai,Chennai,Standard,4,4
Bangalore,Ahmedabad,Same Day,2,1
Mumbai,Chennai,Same Day,7,6
Bangalore,Kolkata,Standard,6,7
Bangalore,Mumbai,Same Day,6,5
Kolkata,Kolkata,Express,4,5
Bangalore,Bangalore,Standard,5,5
Kolkata,Hyderabad,Same Day,3,2
Pune,Ahmedabad,Express,7,6
Mumbai,Mumbai,Same Day,1,1
Ahmedabad,Kolkata,Same Day,7,6
Chennai,Ahmedabad,Express,4,3
Delhi,Ahmedabad,Standard,5,4
Delhi,Kolkata,Same Day,4,4
Bangalore,Kolkata,Same Day,2,3
Chennai,Pune,Same Day,4,4
Kolkata,Chennai,Standard,6,7
Chennai,Pune,Standard,7,6
Kolkata,Mumbai,Same Day,2,3
Kolkata,Bangalore,Same Day,7,8
Bangalore,Pune,Express,1,1
Mumbai,Hyderabad,Same Day,4,5
Hyderabad,Ahmedabad,Standard,7,8
Mumbai,Mumbai,Express,3,3
Kolkata,Delhi,Same Day,1,1
Chennai,Ahmedabad,Same Day,4,4
Mumbai,Hyderabad,Express,4,4
Kolkata,Chennai,Standard,2,3
Chennai,Hyderabad,Same Day,1,1
Mumbai,Chennai,Same Day,1,1
Bangalore,Mumbai,Same Day,4,3
Ahmedabad,Bangalore,Same Day,6,5
Pune,Mumbai,Standard,5,5
Ahmedabad,Mumbai,Standard,6,7
Kolkata,Chennai,Same Day,7,8
Pune,Kolkata,Standard,5,6
Bangalore,Kolkata,Standard,4,3
Delhi,Bangalore,Standard,4,3
Hyderabad,Ahmedabad,Same Day,2,3
Delhi,Ahmedabad,Standard,7,6
Chennai,Mumbai,Same Day,6,5
Chennai,Bangalore,Same Day,7,8
Delhi,Chennai,Express,1,1
Hyderabad,Mumbai,Standard,5,6
Pune,Hyderabad,Standard,7,6
Chennai,Mumbai,Same Day,5,4
Pune,Mumbai,Same Day,1,1
Chennai,Delhi,Standard,3,2
Pune,Hyderabad,Express,5,6
Chennai,Ahmedabad,Same Day,6,7
Delhi,Pune,Express,3,2
Kolkata,Mumbai,Express,5,6
Delhi,Ahmedabad,Express,4,5
Hyderabad,Ahmedabad,Express,6,7
Mumbai,Pune,Express,4,5
Ahmedabad,Mumbai,Same Day,7,8
Kolkata,Mumbai,Standard,7,6
Hyderabad,Ahmedabad,Express,3,2
Chennai,Ahmedabad,Same Day,7,8
Ahmedabad,Hyderabad,Standard,7,7
Hyderabad,Kolkata,Standard,3,2
Kolkata,Delhi,Express,7,6
Delhi,Delhi,Express,4,3
Mumbai,Kolkata,Standard,4,4
Pune,Mumbai,Standard,2,3
Ahmedabad,Ahmedabad,Standard,2,3
Pune,Chennai,Express,4,5
Delhi,Bangalore,Express,3,3
Pune,Delhi,Express,5,6
Pune,Hyderabad,Standard,2,1
Bangalore,Mumbai,Same Day,4,5
Kolkata,Kolkata,Standard,6,6
Pune,Chennai,Same Day,2,2
Pune,Ahmedabad,Express,7,8
Delhi,Pune,Standard,1,1
Chennai,Chennai,Standard,4,5
Pune,Bangalore,Express,5,4
Chennai,Bangalore,Standard,1,2
Hyderabad,Kolkata,Express,4,3
Kolkata,Ahmedabad,Standard,3,4
Ahmedabad,Pune,Standard,2,3
Bangalore,Hyderabad,Standard,6,6
Kolkata,Kolkata,Express,7,6
Pune,Pune,Same Day,1,1
Chennai,Ahmedabad,Express,2,2
Ahmedabad,Pune,Standard,7,7
Pune,Chennai,Standard,4,4
Pune,Pune,Express,6,6
Mumbai,Delhi,Same Day,7,8
Chennai,Pune,Standard,4,5
Kolkata,Kolkata,Same Day,6,7
Chennai,Mumbai,Standard,6,7
Pune,Hyderabad,Same Day,1,2
Pune,Kolkata,Standard,2,1
Mumbai,Hyderabad,Same Day,3,3
Hyderabad,Hyderabad,Standard,7,8
Kolkata,Bangalore,Standard,7,6
Bangalore,Kolkata,Standard,7,7
Bangalore,Delhi,Standard,3,2
Hyderabad,Mumbai,Express,2,2
Delhi,Chennai,Standard,4,4
Delhi,Mumbai,Standard,2,3
Kolkata,Bangalore,Standard,7,6
Hyderabad,Delhi,Standard,7,8
Delhi,Kolkata,Express,7,7
Mumbai,Kolkata,Same Day,7,6
Kolkata,Delhi,Standard,6,5
Kolkata,Pune,Same Day,3,4
Kolkata,Chennai,Same Day,4,5
Chennai,Hyderabad,Express,4,4
Delhi,Chennai,Same Day,1,1
Delhi,Delhi,Standard,5,5
Hyderabad,Kolkata,Express,6,6
Delhi,Pune,Standard,5,6
Bangalore,Hyderabad,Same Day,4,3
Ahmedabad,Pune,Express,1,2
Hyderabad,Pune,Same Day,4,5
Pune,Mumbai,Same Day,6,7
Mumbai,Hyderabad,Standard,6,7
Pune,Bangalore,Standard,4,4
Kolkata,Delhi,Express,3,3
Delhi,Bangalore,Standard,1,1
Bangalore,Bangalore,Express,4,3
Hyderabad,Chennai,Standard,3,2
Hyderabad,Chennai,Express,4,5
Pune,Bangalore,Express,6,5
Bangalore,Kolkata,Standard,2,1
Ahmedabad,Hyderabad,Express,1,2
Delhi,Ahmedabad,Same Day,4,4
Ahmedabad,Ahmedabad,Same Day,7,7
Hyderabad,Kolkata,Same Day,2,3
Delhi,Bangalore,Express,7,8
Mumbai,Hyderabad,Express,2,1
Bangalore,Bangalore,Express,2,1
Mumbai,Mumbai,Standard,2,3
Chennai,Ahmedabad,Express,2,2
Hyderabad,Kolkata,Same Day,1,1
Mumbai,Pune,Express,5,4
Bangalore,Mumbai,Standard,4,4
Mumbai,Ahmedabad,Express,7,8
Ahmedabad,Ahmedabad,Same Day,2,1
Ahmedabad,Bangalore,Same Day,3,2
Hyderabad,Pune,Same Day,1,1
Bangalore,Mumbai,Standard,1,2
Hyderabad,Mumbai,Express,5,5
Chennai,Mumbai,Same Day,2,2
Kolkata,Kolkata,Express,6,7
Delhi,Pune,Same Day,7,6
Hyderabad,Ahmedabad,Standard,1,2
Kolkata,Ahmedabad,Standard,2,1
Chennai,Mumbai,Same Day,2,2
Mumbai,Pune,Standard,4,5
Hyderabad,Mumbai,Same Day,5,5
Bangalore,Ahmedabad,Express,3,3
Kolkata,Bangalore,Standard,3,4
Bangalore,Pune,Express,3,2
Hyderabad,Mumbai,Express,5,5
Mumbai,Mumbai,Express,4,5
Pune,Pune,Express,7,6
Delhi,Pune,Same Day,4,3
Mumbai,Hyderabad,Same Day,3,4
Pune,Chennai,Same Day,7,8
Bangalore,Bangalore,Express,2,3
Kolkata,Ahmedabad,Express,3,2
Chennai,Pune,Standard,3,2
Hyderabad,Pune,Standard,6,5
Ahmedabad,Mumbai,Standard,6,5
Delhi,Mumbai,Standard,7,8
Kolkata,Delhi,Express,2,2
Pune,Kolkata,Same Day,4,3
Delhi,Hyderabad,Express,1,2
Delhi,Delhi,Standard,4,5
Kolkata,Ahmedabad,Same Day,3,3
Kolkata,Pune,Standard,3,2
Kolkata,Delhi,Express,2,2
Mumbai,Bangalore,Same Day,3,3
Delhi,Hyderabad,Express,6,5
Hyderabad,Mumbai,Same Day,4,3
Ahmedabad,Delhi,Same Day,6,6
Hyderabad,Chennai,Same Day,4,5
Bangalore,Kolkata,Same Day,7,6
Chennai,Pune,Same Day,1,2
Mumbai,Pune,Same Day,7,6
Bangalore,Hyderabad,Same Day,7,6
Hyderabad,Pune,Express,2,1
Bangalore,Hyderabad,Same Day,6,6
Mumbai,Kolkata,Same Day,1,1
Delhi,Ahmedabad,Same Day,1,1
Mumbai,Pune,Standard,6,5
Hyderabad,Delhi,Same Day,4,4
Bangalore,Ahmedabad,Standard,1,1
Ahmedabad,Chennai,Same Day,5,6
Pune,Kolkata,Standard,5,4
Ahmedabad,Delhi,Same Day,1,1
Ahmedabad,Ahmedabad,Same Day,4,5
Delhi,Chennai,Same Day,5,5
Mumbai,Mumbai,Express,6,6
Pune,Delhi,Express,6,6
Kolkata,Ahmedabad,Express,4,4
Chennai,Chennai,Same Day,4,5
Chennai,Chennai,Standard,2,2
Mumbai,Delhi,Standard,2,3
Delhi,Pune,Standard,3,2
Ahmedabad,Ahmedabad,Standard,7,7
Pune,Chennai,Standard,6,6
Pune,Bangalore,Express,3,3
Kolkata,Kolkata,Same Day,5,4
Chennai,Delhi,Express,2,3
Hyderabad,Ahmedabad,Express,5,4
Hyderabad,Hyderabad,Express,6,7
Pune,Bangalore,Standard,1,1
Delhi,Chennai,Express,3,3
Kolkata,Kolkata,Same Day,3,4
Pune,Hyderabad,Standard,7,7
Chennai,Ahmedabad,Express,3,2
Chennai,Hyderabad,Express,7,6
Delhi,Ahmedabad,Standard,2,2
Chennai,Kolkata,Express,4,4
Mumbai,Ahmedabad,Standard,3,3
Ahmedabad,Delhi,Standard,5,4
Chennai,Kolkata,Express,2,1
Mumbai,Ahmedabad,Same Day,1,2
Chennai,Bangalore,Same Day,4,5
Kolkata,Kolkata,Standard,1,2
Ahmedabad,Hyderabad,Standard,5,6
Delhi,Pune,Standard,4,3
Hyderabad,Kolkata,Express,3,4
Kolkata,Mumbai,Express,1,1
Ahmedabad,Bangalore,Same Day,7,7
Kolkata,Chennai,Same Day,3,3
Hyderabad,Bangalore,Same Day,4,4
Bangalore,Bangalore,Express,4,4
Pune,Hyderabad,Express,6,5
Pune,Kolkata,Express,5,5
Ahmedabad,Hyderabad,Express,1,1
Ahmedabad,Chennai,Same Day,7,6
Hyderabad,Ahmedabad,Standard,7,8
Kolkata,Ahmedabad,Same Day,4,4
Pune,Ahmedabad,Standard,2,3
Delhi,Chennai,Standard,3,4
Ahmedabad,Hyderabad,Express,1,1
Mumbai,Pune,Express,2,2
Ahmedabad,Pune,Same Day,6,5
Ahmedabad,Delhi,Standard,1,1
Hyderabad,Chennai,Same Day,1,1
Mumbai,Chennai,Same Day,5,6
Chennai,Bangalore,Standard,6,6
Ahmedabad,Chennai,Standard,5,4
Pune,Kolkata,Same Day,1,1
Delhi,Chennai,Same Day,5,5
Pune,Delhi,Same Day,2,1
Hyderabad,Pune,Standard,1,2
Mumbai,Pune,Standard,4,5
Pune,Bangalore,Standard,4,3
Chennai,Pune,Same Day,4,5
Pune,Bangalore,Same Day,4,5
